City,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BIRBHUM,1948,6.681,17.664,40.05,87.893,78.793,208.141,288.934,310.782,123.163,122.041,27.724,0.043
BIRBHUM,1949,1.103,14.824,30.489,59.373,156.826,331.678,317.373,441.443,180.993,59.119,0,0
BIRBHUM,1950,0.006,8.308,66.541,18.874,43.513,428.466,289.446,308.392,166.507,83.541,20.989,0.193
BIRBHUM,1951,5.276,0.218,70.303,16.089,35.747,220.503,429.734,360.076,300.925,111.098,22.321,0
BIRBHUM,1952,0,12.194,49.282,65.828,38.465,245.402,319.175,299.3,222.821,123.009,18.784,0.064
BIRBHUM,1953,42.234,18.363,50.633,2.17,34.955,236.432,350.862,276.184,295.125,21.417,2.074,0
BIRBHUM,1954,17.765,9.568,1.265,2.654,63.979,271.992,253.76,305.994,283.927,76.383,0,6.936
BIRBHUM,1955,31.519,9.382,21.506,29.142,34.343,186.298,305.113,192.916,177.411,146.423,23.923,0.007
BIRBHUM,1956,10.978,50.846,43.694,53.841,110.635,372.707,236.895,360.427,316.057,173.896,18.576,3.617
BIRBHUM,1957,31.448,19.536,33.293,9.555,4.555,125.365,263.168,181.174,255.82,94.871,0,0.009
BIRBHUM,1958,9.04,44.264,18.258,21.585,28.378,103.164,315.007,498.182,219.524,139.258,4.17,0
BIRBHUM,1959,8.989,3.46,16.926,24.392,70.01,189.835,240.492,332.01,292.716,374.363,0,0.646
BIRBHUM,1960,0.749,0.218,56.445,2.16,47.143,131.358,322.234,276.163,229.127,76.326,1.717,0
BIRBHUM,1961,16.09,103.997,1.951,1.264,50.398,229.178,142.785,387.491,287.943,129.707,1.459,2.452
BIRBHUM,1962,13.241,18.915,4.372,12.176,58.28,179.971,209.124,417.605,149.947,94.644,0,1.519
BIRBHUM,1963,0.75,3.532,36.971,79.772,120.284,285.441,260.689,150.587,242.194,237.961,8.579,0.074
BIRBHUM,1964,0.223,3.038,20.02,71.975,70.815,178.49,310.974,267.012,167.512,81.429,7.886,0
BIRBHUM,1965,0.475,23.194,14.801,35.446,22.948,147.556,257.102,383.362,233.282,52.37,3.073,1.923
BIRBHUM,1966,42.243,2.538,2.216,10.562,16.222,208.005,112.843,302.017,154.09,44.293,25.161,15.356
BIRBHUM,1967,10.33,1.195,69.784,62.831,34.905,164.571,218.993,408.544,155.297,49.931,0,1.59
BIRBHUM,1968,12.493,11.651,18.645,14.907,21.949,433.895,348.592,379.744,98.91,144.099,11.918,2.134
BIRBHUM,1969,5.468,5.871,42.386,53.24,73.699,158.197,283.017,409.793,222.247,73.442,10.266,0
BIRBHUM,1970,18.592,12.506,34.704,6.34,45.609,254.268,269.695,251.036,338.503,181.348,7.389,0
BIRBHUM,1971,31.783,38.462,8.809,170.318,114.035,357.496,434.535,609.767,303.592,103.737,6.245,0
BIRBHUM,1972,6.388,44.412,1.592,17.542,18.843,77.191,172.864,449.274,168.324,80.464,3.755,0.152
BIRBHUM,1973,3.224,8.5,41.226,11.311,133.703,397.489,236.122,263.87,493.583,185.603,24.117,20.673
BIRBHUM,1974,1.59,0.219,89.576,20.746,87.071,102.212,283.904,230.338,361.281,107.287,3.077,0.75
BIRBHUM,1975,7.419,13.323,10.678,12.287,73.208,149.392,333.087,194.443,211.197,114.982,10.6,0
BIRBHUM,1976,0.019,23.806,8.046,29.621,105.66,74.285,350.052,276.49,298.2,27.96,1.208,0
BIRBHUM,1977,4.496,36.431,1.514,44.822,138.673,392.33,576.013,200.093,159.168,89.907,18.475,24.231
